#x	y	new0_fix	12_	12a	12b
0.426	-3.14159	166.213	166.054	165.839	166.018
0.426	-3.03687	154.904	154.561	154.6	154.772
0.426	-2.93215	144.856	144.9	144.564	145.169
0.426	-2.82743	136.185	135.988	135.946	136.316
0.426	-2.72271	128.918	128.9	128.649	129.176
0.426	-2.61799	123.087	123.016	122.765	123.288
0.426	-2.51327	118.542	118.398	118.147	118.67
0.426	-2.40855	115.139	114.856	114.596	115.139
0.426	-2.30383	112.711	112.152	111.89	112.438
0.426	-2.19911	111.027	110.231	109.967	110.523
0.426	-2.0944	109.996	108.918	108.654	109.218
0.426	-1.98968	109.476	108.05	107.771	108.362
0.426	-1.88496	109.262	107.472	107.146	107.812
0.426	-1.78024	109.288	107.037	106.702	107.426
0.426	-1.67552	109.476	106.704	106.359	107.114
0.426	-1.5708	109.614	106.434	106.072	106.865
0.426	-1.46608	109.291	106.211	105.838	106.675
0.426	-1.36136	110.11	106.085	105.694	106.581
0.426	-1.25664	110.618	106.1	105.651	106.659
0.426	-1.15192	111.756	106.358	105.89	106.961
0.426	-1.0472	111.684	107.047	106.56	107.689
0.426	-0.942478	114.379	108.341	107.831	109.023
0.426	-0.837758	116.395	110.429	109.897	111.153
0.426	-0.733038	119.781	113.515	112.955	114.279
0.426	-0.628319	124.308	117.769	117.158	118.6
0.426	-0.523599	130.099	123.379	122.747	124.25
0.426	-0.418879	137.166	130.422	129.816	131.26
0.426	-0.314159	145.762	138.995	138.324	139.865
0.426	-0.20944	155.969	149.294	148.658	150.091
0.426	-0.10472	167.581	160.845	160.248	161.346
0.426	-2.66454e-15	180.611	174.087	173.484	174.635
0.426	0.10472	196.188	188.313	187.977	189.298
0.426	0.20944	211.04	204.235	203.698	205.126
0.426	0.314159	228.12	221.453	220.889	222.21
0.426	0.418879	246.124	239.535	238.977	240.286
0.426	0.523599	264.908	258.269	257.72	258.529
0.426	0.628319	284.338	277.231	276.693	277.459
0.426	0.733038	302.793	295.033	295.081	296.183
0.426	0.837758	319.34	313.607	313.134	314.431
0.426	0.942478	335.957	330.519	329.966	331.117
0.426	1.0472	349.822	345.446	345.031	345.998
0.426	1.15192	362.736	358.029	357.648	358.537
0.426	1.25664	371.386	367.897	367.54	367.338
0.426	1.36136	377.773	373.573	374.373	375.134
0.426	1.46608	379.716	378.153	377.871	377.555
0.426	1.5708	379.178	378.124	377.585	378.451
0.426	1.67552	376.927	374.333	374.74	374.992
0.426	1.78024	367.844	366.633	366.444	367.279
