#x	y	new0_fix	new11a	new11b
0.0178175	0.426	163.469	163.166	163.41
0.0178175	0.4345	127.762	127.666	127.803
0.0178175	0.443	98.8562	98.8482	98.8666
0.0178175	0.4515	76.4464	76.4464	76.4465
0.0178175	0.46	59.8667	59.8668	59.8667
0.0178175	0.4685	48.1999	48.1947	48.2054
0.0178175	0.477	40.4281	40.3949	40.4426
0.0178175	0.4855	35.2801	35.2782	35.2932
0.0178175	0.494	31.758	31.8861	31.7802
0.0178175	0.5025	29.0382	29.0912	29.0574
0.0178175	0.511	26.5589	26.5527	26.5688
0.0178175	0.5195	24.1579	24.151	24.1653
0.0178175	0.528	22.1476	22.1365	22.1573
0.0178175	0.5365	21.1454	21.1436	21.1527
0.0178175	0.545	21.9995	21.9972	22.0019
0.0178175	0.5535	25.8301	25.8301	25.8301
0.0178175	0.562	34.0855	34.0812	34.0902
0.0178175	0.5705	46.3954	46.3834	46.4084
0.0178175	0.579	64.7251	64.6735	64.7675
0.0184709	0.426	151.661	151.499	151.862
0.0184709	0.4345	117.187	117.162	117.911
0.0184709	0.443	87.9934	87.9731	88.0163
0.0184709	0.4515	65.99	65.9857	65.995
0.0184709	0.46	49.7947	49.7948	49.7947
0.0184709	0.4685	38.5615	38.5564	38.5645
0.0184709	0.477	31.1617	31.1502	31.2061
0.0184709	0.4855	26.3861	26.3782	26.4005
0.0184709	0.494	23.3021	23.2906	23.3156
0.0184709	0.5025	20.9704	20.9634	20.9782
0.0184709	0.511	18.8427	18.8352	18.8511
0.0184709	0.5195	16.8165	16.8084	16.8222
0.0184709	0.528	15.1318	15.1274	15.1366
0.0184709	0.5365	14.4177	14.416	14.4206
0.0184709	0.545	15.5171	15.5149	15.5197
0.0184709	0.5535	19.739	19.737	19.7412
0.0184709	0.562	27.2965	27.2944	27.2987
0.0184709	0.5705	39.9839	39.9582	40.0039
0.0184709	0.579	58.1328	58.0812	58.1886
0.0191243	0.426	141.879	141.543	141.686
0.0191243	0.4345	109.278	109.206	109.359
0.0191243	0.443	78.8066	78.7205	78.8354
0.0191243	0.4515	57.1197	57.1153	57.1247
0.0191243	0.46	41.3076	41.3076	41.3076
0.0191243	0.4685	30.4538	30.4512	30.4567
0.0191243	0.477	23.3988	23.3943	23.4016
0.0191243	0.4855	19.0191	19.0221	19.0274
0.0191243	0.494	16.3265	16.3198	16.3301
0.0191243	0.5025	14.3469	14.3402	14.3543
0.0191243	0.511	12.6167	12.6094	12.6248
0.0191243	0.5195	10.9687	10.9457	10.9591
0.0191243	0.528	9.58105	9.57681	9.58578
0.0191243	0.5365	9.10242	9.10067	9.1044
0.0191243	0.545	10.3883	10.3882	10.3884
0.0191243	0.5535	14.5609	14.5607	14.561
0.0191243	0.562	22.3071	22.2971	22.3178
0.0191243	0.5705	34.9114	34.8866	34.9382
0.0191243	0.579	52.9618	52.9122	53.0155
0.0197777	0.426	133.063	133.065	133.005
0.0197777	0.4345	100.238	100.207	100.273
0.0197777	0.443	72.0385	72.0335	72.0442
0.0197777	0.4515	49.7503	49.7458	49.7553
0.0197777	0.46	34.3035	34.3035	34.3035
0.0197777	0.4685	23.7472	23.7471	23.7474
0.0197777	0.477	17.0322	17.0293	17.0354
0.0197777	0.4855	13.0841	13.0768	13.0925
0.0197777	0.494	10.7044	10.6998	10.7095
0.0197777	0.5025	9.1275	9.12107	9.13464
0.0197777	0.511	7.78185	7.77486	7.78959
0.0197777	0.5195	6.46901	6.46292	6.4758
0.0197777	0.528	5.40016	5.39607	5.40474
0.0197777	0.5365	5.15916	5.15745	5.16108
0.0197777	0.545	6.68986	6.68985	6.68986
0.0197777	0.5535	10.7381	10.7356	10.7407
0.0197777	0.562	18.6187	18.6091	18.6291
0.0197777	0.5705	31.1705	31.1322	31.1964
0.0197777	0.579	48.9383	48.8438	49.0823
0.0204311	0.426	125.724	125.574	125.877
0.0204311	0.4345	92.26	92.2225	92.3019
0.0204311	0.443	65.877	65.8719	65.8827
0.0204311	0.4515	43.8516	43.8443	43.8598
0.0204311	0.46	28.6691	28.6674	28.671
0.0204311	0.4685	18.407	18.4069	18.4071
0.0204311	0.477	12.0609	12.0583	12.0639
0.0204311	0.4855	8.42105	8.42031	8.42449
0.0204311	0.494	6.41266	6.40832	6.41746
0.0204311	0.5025	5.22257	5.21647	5.22933
0.0204311	0.511	4.22151	4.21889	4.22524
0.0204311	0.5195	3.23689	3.23528	3.239
0.0204311	0.528	2.48881	2.48859	2.48911
0.0204311	0.5365	2.48199	2.48156	2.48248
0.0204311	0.545	4.07355	4.07345	4.07365
0.0204311	0.5535	8.29344	8.29099	8.29604
0.0204311	0.562	16.1808	16.1713	16.1909
0.0204311	0.5705	28.4568	28.6494	28.5117
0.0204311	0.579	46.0495	45.9566	46.1481
0.0210845	0.426	119.959	119.811	120.123
0.0210845	0.4345	86.5961	86.5191	86.681
0.0210845	0.443	60.0014	59.9698	60.0365
0.0210845	0.4515	40.0437	40.0271	40.0625
0.0210845	0.46	24.2822	24.2784	24.2865
0.0210845	0.4685	14.3601	14.36	14.3601
0.0210845	0.477	8.35279	8.35266	8.35293
0.0210845	0.4855	5.01155	5.00222	5.01389
0.0210845	0.494	3.36906	3.36502	3.37353
0.0210845	0.5025	2.54537	2.51042	2.5146
0.0210845	0.511	1.81874	1.81706	1.82097
0.0210845	0.5195	1.15864	1.15758	1.15989
0.0210845	0.528	0.685658	0.685602	0.685734
0.0210845	0.5365	0.924402	0.923959	0.924885
0.0210845	0.545	2.71693	2.71449	2.71956
0.0210845	0.5535	6.96345	6.95228	6.97564
0.0210845	0.562	14.7019	14.6852	14.72
0.0210845	0.5705	26.814	26.7739	26.8575
0.0210845	0.579	44.023	43.9565	44.0952
0.021738	0.426	115.499	115.351	115.663
0.021738	0.4345	82.4935	82.4142	82.5781
0.021738	0.443	55.9317	55.8932	55.9741
0.021738	0.4515	35.7768	35.7719	35.7821
0.021738	0.46	21.6579	21.656	21.6599
0.021738	0.4685	11.5334	11.5334	11.5334
0.021738	0.477	5.77918	5.7791	5.77927
0.021738	0.4855	2.77532	2.77376	2.77707
0.021738	0.494	1.50009	1.498	1.50063
0.021738	0.5025	0.915483	0.914474	0.916639
0.021738	0.511	0.56834	0.567114	0.56977
0.021738	0.5195	0.222243	0.22161	0.222971
0.021738	0.528	0.0155386	0.0155386	0.0155386
0.021738	0.5365	0.456073	0.455693	0.456483
0.021738	0.545	2.3509	2.34869	2.35329
0.021738	0.5535	6.66591	6.65839	6.67326
0.021738	0.562	14.3797	14.3584	14.4027
0.021738	0.5705	26.4091	26.3708	26.4506
0.021738	0.579	43.4698	43.4061	43.5388
0.0223914	0.426	112.28	112.132	112.51
0.0223914	0.4345	79.6045	79.5172	79.6955
0.0223914	0.443	53.3531	53.3143	53.3957
0.0223914	0.4515	33.3671	33.3511	33.3846
0.0223914	0.46	19.1356	19.1313	19.1404
0.0223914	0.4685	9.9831	9.98198	9.98435
0.0223914	0.477	4.34098	4.34081	4.34118
0.0223914	0.4855	1.6733	1.67301	1.67362
0.0223914	0.494	0.654873	0.654851	0.654901
0.0223914	0.5025	0.419057	0.418553	0.41943
0.0223914	0.511	0.406222	0.405493	0.407051
0.0223914	0.5195	0.363066	0.362717	0.363464
0.0223914	0.528	0.420962	0.418764	0.418692
0.0223914	0.5365	1.06159	1.06132	1.06186
0.0223914	0.545	3.0918	3.08986	3.09386
0.0223914	0.5535	7.4494	7.443	7.47133
0.0223914	0.562	15.1232	15.1029	15.1452
0.0223914	0.5705	27.0579	27.0212	27.0976
0.0223914	0.579	43.9654	43.9043	44.0316
0.0230448	0.426	110.262	110.076	110.467
0.0230448	0.4345	77.8691	77.7817	77.9651
0.0230448	0.443	51.9177	51.8785	51.9607
0.0230448	0.4515	32.2112	32.1948	32.2292
0.0230448	0.46	18.2601	18.2555	18.2651
0.0230448	0.4685	9.16153	9.15841	9.16494
0.0230448	0.477	3.97868	3.97842	3.97897
0.0230448	0.4855	1.61708	1.61625	1.61801
0.0230448	0.494	0.862223	0.862202	0.862247
0.0230448	0.5025	0.963056	0.962838	0.963292
0.0230448	0.511	1.27331	1.27279	1.27388
0.0230448	0.5195	1.53141	1.5311	1.53174
0.0230448	0.528	1.84159	1.84896	1.8415
0.0230448	0.5365	2.67441	2.67419	2.67474
0.0230448	0.545	4.82741	4.81383	4.83247
0.0230448	0.5535	9.2345	9.22534	9.24437
0.0230448	0.562	16.9188	16.8996	16.9397
0.0230448	0.5705	28.7037	28.6684	28.7418
0.0230448	0.579	45.4536	45.3948	45.5171
0.0236982	0.426	109.262	109.076	109.469
0.0236982	0.4345	77.2403	77.1526	77.3363
