#x	y	12_	12a	12b
-3.14159	0.002464	48.4064	48.1107	48.8576
-3.14159	0.0024715	45.7796	45.5362	46.1598
-3.14159	0.002479	43.5639	43.3552	43.8966
-3.14159	0.0024865	41.7393	41.5762	42.004
-3.14159	0.002494	40.3118	40.1765	40.5369
-3.14159	0.0025015	39.3416	39.2256	39.5378
-3.14159	0.002509	38.8383	38.7337	39.0155
-3.14159	0.0025165	38.8129	38.7125	38.9802
-3.14159	0.002524	39.2635	39.1632	39.4292
-3.14159	0.0025315	40.0163	39.9079	40.1896
-3.14159	0.002539	41.2651	41.1339	41.4488
-3.14159	0.0025465	43.0318	42.8132	43.2231
-3.14159	0.002554	45.2383	45.0753	45.471
-3.03687	0.002464	40.984	40.6776	41.4409
-3.03687	0.0024715	38.3361	38.0942	38.6998
-3.03687	0.002479	36.0379	35.8296	36.3667
-3.03687	0.0024865	34.1529	33.985	34.4241
-3.03687	0.002494	32.7096	32.5709	32.9395
-3.03687	0.0025015	31.7215	31.6035	31.9208
-3.03687	0.002509	31.1982	31.0927	31.377
-3.03687	0.0025165	31.1506	31.0504	31.3182
-3.03687	0.002524	31.5921	31.4913	31.7565
-3.03687	0.0025315	32.3839	32.2718	32.5613
-3.03687	0.002539	33.6679	33.5469	33.83
-3.03687	0.0025465	35.3311	35.2177	35.5029
-3.03687	0.002554	37.4391	37.2914	37.6821
-2.93215	0.002464	34.2921	33.9997	34.7257
-2.93215	0.0024715	31.5988	31.3583	31.9647
-2.93215	0.002479	29.3326	29.1357	29.6407
-2.93215	0.0024865	27.4998	27.3391	27.7606
-2.93215	0.002494	26.1109	25.981	26.3285
-2.93215	0.0025015	25.1504	25.0331	25.3483
-2.93215	0.002509	24.6127	24.5089	24.7889
-2.93215	0.0025165	24.5489	24.4512	24.713
-2.93215	0.002524	24.9466	24.8605	25.0875
-2.93215	0.0025315	25.6243	25.5275	25.7771
-2.93215	0.002539	26.8096	26.7023	26.9735
-2.93215	0.0025465	28.5267	28.3188	28.6992
-2.93215	0.002554	30.6722	30.5185	30.8873
-2.82743	0.002464	28.598	28.3056	29.0291
