#x	y	12_	12a	12b
0.0178175	-3.14159	78.8183	78.8063	78.8381
0.0178175	-3.03687	67.6395	67.6231	67.6648
0.0178175	-2.93215	57.8315	57.8165	57.8549
0.0178175	-2.82743	49.4779	49.4649	49.4981
0.0178175	-2.72271	42.5123	42.5018	42.5285
0.0178175	-2.61799	36.8362	36.8284	36.848
0.0178175	-2.51327	32.326	32.3207	32.3336
0.0178175	-2.40855	28.8409	28.8374	28.8453
0.0178175	-2.30383	26.23	26.2273	26.2329
0.0178175	-2.19911	24.3084	24.3083	24.3085
0.0178175	-2.0944	22.9307	22.9294	22.9329
0.0178175	-1.98968	21.9832	21.9787	21.997
0.0178175	-1.88496	21.3453	21.3201	21.3457
0.0178175	-1.78024	20.8914	20.8778	20.9194
0.0178175	-1.67552	20.6183	20.5918	20.6365
0.0178175	-1.5708	20.3916	20.3594	20.4499
0.0178175	-1.46608	20.2339	20.1619	20.3054
0.0178175	-1.36136	20.1504	20.1007	20.2676
0.0178175	-1.25664	20.3005	20.2211	20.4332
0.0178175	-1.15192	20.7294	20.6312	20.8933
0.0178175	-1.0472	21.5807	21.4565	21.7806
0.0178175	-0.942478	22.9242	22.7929	23.1429
0.0178175	-0.837758	24.9811	24.8211	25.234
0.0178175	-0.733038	27.9329	27.7602	28.2191
0.0178175	-0.628319	31.9339	31.7427	32.2591
0.0178175	-0.523599	37.17	36.9556	37.5269
0.0178175	-0.418879	43.7711	43.5368	44.1616
0.0178175	-0.314159	51.8163	51.5753	52.2165
0.0178175	-0.20944	61.3995	61.143	61.8255
0.0178175	-0.10472	72.581	72.3111	73.0293
0.0178175	-2.66454e-15	85.3463	85.0654	85.8125
0.0178175	0.10472	99.3244	99.0392	99.7964
0.0178175	0.20944	114.554	114.265	115.033
0.0178175	0.314159	130.909	130.619	131.389
0.0178175	0.418879	148.127	147.84	148.602
0.0178175	0.523599	165.883	165.603	166.347
0.0178175	0.628319	183.796	183.526	184.244
0.0178175	0.733038	201.331	201.074	201.752
0.0178175	0.837758	217.709	217.468	218.103
0.0178175	0.942478	232.846	232.619	233.22
0.0178175	1.0472	246.316	246.111	246.653
0.0178175	1.15192	257.716	257.535	258.015
0.0178175	1.25664	266.679	266.522	266.937
0.0178175	1.36136	272.909	272.719	273.084
0.0178175	1.46608	276.016	276.094	276.201
0.0178175	1.5708	276.135	276.047	276.282
0.0178175	1.67552	273.226	273.159	273.337
0.0178175	1.78024	267.294	267.241	267.486
0.0178175	1.88496	258.66	258.624	258.719
0.0178175	1.98968	247.645	247.623	247.681
0.0178175	2.0944	234.618	234.606	234.637
0.0178175	2.19911	219.951	219.943	219.964
0.0178175	2.30383	204.096	204.093	204.101
0.0178175	2.40855	187.41	187.481	187.492
0.0178175	2.51327	170.032	170.282	170.037
0.0178175	2.61799	152.773	152.768	152.779
0.0178175	2.72271	135.99	135.984	135.999
0.0178175	2.82743	120.177	119.979	120
0.0178175	2.93215	105.011	105.179	105.027
0.0178175	3.03687	91.2456	91.2343	91.264
0.0178175	3.14159	78.8183	78.8063	78.8381
0.0184709	-3.14159	68.9482	68.9226	68.988
0.0184709	-3.03687	58.2579	58.2329	58.297
0.0184709	-2.93215	48.9807	48.9573	49.0174
0.0184709	-2.82743	41.0903	41.0694	41.123
0.0184709	-2.72271	34.5228	34.5051	34.5503
0.0184709	-2.61799	29.1837	29.1696	29.2053
0.0184709	-2.51327	24.9264	24.9176	24.9411
0.0184709	-2.40855	21.6358	21.6305	21.6445
0.0184709	-2.30383	19.1709	19.1686	19.1748
0.0184709	-2.19911	17.3847	17.3841	17.3855
0.0184709	-2.0944	16.1352	16.135	16.1353
0.0184709	-1.98968	15.288	15.2866	15.2903
0.0184709	-1.88496	14.7297	14.725	14.7374
0.0184709	-1.78024	14.3711	14.3609	14.3878
0.0184709	-1.67552	14.1045	14.0899	14.1291
0.0184709	-1.5708	13.894	13.8755	13.9354
0.0184709	-1.46608	13.7664	13.733	13.8225
0.0184709	-1.36136	13.7532	13.7072	13.8304
0.0184709	-1.25664	13.9221	13.8558	14.0235
0.0184709	-1.15192	14.365	14.2879	14.4849
0.0184709	-1.0472	15.1136	15.026	15.2655
0.0184709	-0.942478	16.4009	16.2931	16.5758
0.0184709	-0.837758	18.3722	18.2497	18.5898
0.0184709	-0.733038	21.1935	21.0525	21.4294
0.0184709	-0.628319	25.0221	24.8624	25.2892
0.0184709	-0.523599	30.0042	29.8312	30.2861
0.0184709	-0.418879	36.2229	36.0373	36.5321
0.0184709	-0.314159	43.8469	43.6461	44.1816
0.0184709	-0.20944	52.9519	52.7373	53.3098
0.0184709	-0.10472	63.5725	63.3458	63.9504
0.0184709	-2.66454e-15	75.6946	75.458	76.0887
0.0184709	0.10472	89.2001	88.9608	89.5985
0.0184709	0.20944	103.65	103.407	104.053
0.0184709	0.314159	119.164	118.92	119.57
0.0184709	0.418879	135.495	135.252	135.898
0.0184709	0.523599	152.334	152.097	152.729
0.0184709	0.628319	169.317	169.089	169.698
0.0184709	0.733038	186.037	185.82	186.398
0.0184709	0.837758	201.682	201.481	202.013
0.0184709	0.942478	216.059	215.875	216.362
0.0184709	1.0472	228.813	228.643	229.095
0.0184709	1.15192	239.572	239.424	239.819
0.0184709	1.25664	248.012	247.885	248.222
0.0184709	1.36136	253.854	253.748	254.027
