#	12_	12a	12b
0.426	0.433909	-0.496238
0.4345	0.253522	-0.328497
0.443	0.154622	-0.205905
0.4515	0.102178	-0.14402
0.46	0.0394705	-0.0530377
0.4685	0.01563	-0.02243
0.477	0.00933644	-0.0591547
0.4855	0.0138603	-0.0228881
0.494	0.00359199	-0.00606421
0.5025	0.000542306	-0.000963177
0.511	0.000895078	-0.00101015
0.5195	0.000604966	-0.000848934
0.528	0	0
0.5365	0.000379429	-0.000424248
0.545	0.00231828	-0.00252374
0.5535	0.0102938	-0.011742
0.562	0.021538	-0.0238907
0.5705	0.0407898	-0.0443264
0.579	0.0708591	-0.0762774
