#x	y	new0	0_E	0_M
0.0178175	0.426	163.279	40.0778	82.6519
0.0178175	0.4345	127.762	37.44	59.5786
0.0178175	0.443	98.857	34.9146	41.4448
0.0178175	0.4515	76.4464	32.8045	28.1745
0.0178175	0.46	59.8667	30.7385	19.3103
0.0178175	0.4685	48.1999	29.006	13.9265
0.0178175	0.477	40.4281	27.6101	11.1282
0.0178175	0.4855	35.2801	26.1528	10.0467
0.0178175	0.494	31.758	25.4754	9.87966
0.0178175	0.5025	29.0985	23.8918	9.97302
0.0178175	0.511	26.5589	22.3848	10.006
0.0178175	0.5195	24.1579	20.5949	9.9185
0.0178175	0.528	22.1476	18.992	9.87647
0.0178175	0.5365	21.1454	17.5766	10.3671
0.0178175	0.545	21.9995	16.3168	12.1117
0.0178175	0.5535	25.8301	15.1706	15.9581
0.0178175	0.562	34.0855	14.1685	22.7849
0.0178175	0.5705	46.3954	13.2975	33.57
0.0178175	0.579	64.7251	12.5394	49.0001
0.0184709	0.426	151.66	32.4445	80.6301
0.0184709	0.4345	117.187	30.1636	57.4019
0.0184709	0.443	87.9934	28.4463	39.1076
0.0184709	0.4515	65.99	26.2283	25.6719
0.0184709	0.46	49.7947	24.8572	16.6671
0.0184709	0.4685	38.5615	23.3254	11.1748
0.0184709	0.477	31.17	21.878	8.29432
0.0184709	0.4855	26.3861	21.2049	7.16341
0.0184709	0.494	23.3021	19.201	6.97401
0.0184709	0.5025	20.9704	17.373	7.06474
0.0184709	0.511	18.8427	15.737	7.10241
0.0184709	0.5195	16.868	14.2909	7.01825
0.0184709	0.528	15.1318	13.0114	6.96816
0.0184709	0.5365	14.4177	11.8895	7.42183
0.0184709	0.545	15.5171	10.8812	9.09436
0.0184709	0.5535	19.739	10.0161	12.8282
0.0184709	0.562	27.2965	9.28078	19.499
0.0184709	0.5705	39.9839	8.66064	30.0803
0.0184709	0.579	58.1328	8.16646	45.2722
0.0191243	0.426	142.312	26.1347	79.1193
0.0191243	0.4345	109.278	24.4247	55.7363
0.0191243	0.443	78.8066	22.4113	37.2819
0.0191243	0.4515	57.1197	20.8964	23.6831
0.0191243	0.46	41.3076	19.7387	14.5346
0.0191243	0.4685	30.4538	18.5909	8.93255
0.0191243	0.477	23.3988	16.772	5.96878
0.0191243	0.4855	19.0191	14.9066	4.78712
0.0191243	0.494	16.3245	13.2405	4.5742
0.0191243	0.5025	14.347	11.7413	4.66167
0.0191243	0.511	12.6167	10.4196	4.70384
0.0191243	0.5195	10.952	9.26524	4.62356
0.0191243	0.528	9.58105	8.26996	4.56538
0.0191243	0.5365	9.10242	7.39255	4.9841
0.0191243	0.545	10.3883	6.65578	6.58622
0.0191243	0.5535	14.5609	6.04783	10.2093
0.0191243	0.562	22.3071	5.5567	16.7302
0.0191243	0.5705	34.9114	5.19003	27.1056
0.0191243	0.579	52.9618	4.93162	42.0605
0.0197777	0.426	133.158	21.0026	78.1194
0.0197777	0.4345	100.238	19.3762	54.5822
0.0197777	0.443	72.0385	17.9445	35.9682
0.0197777	0.4515	49.7503	16.7234	22.2054
0.0197777	0.46	34.3035	15.1625	12.9122
0.0197777	0.4685	23.7472	13.1889	7.1993
0.0197777	0.477	17.0322	11.4537	4.15156
0.0197777	0.4855	13.0841	9.92034	2.91791
0.0197777	0.494	10.7044	8.53362	2.68027
0.0197777	0.5025	9.1275	7.32571	2.76382
0.0197777	0.511	7.78185	6.2873	2.81038
0.0197777	0.5195	6.46901	5.40989	2.73436
0.0197777	0.528	5.40016	4.65496	2.66873
0.0197777	0.5365	5.15916	4.0394	3.05382
0.0197777	0.545	6.68986	3.54958	4.58722
0.0197777	0.5535	10.7381	3.17985	8.10153
0.0197777	0.562	18.6187	2.92833	14.4744
0.0197777	0.5705	31.1705	2.79184	24.645
0.0197777	0.579	48.9383	2.76871	39.3651
0.0204311	0.426	125.724	17.0361	77.6305
0.0204311	0.4345	92.26	15.8945	53.9396
0.0204311	0.443	65.877	14.3705	35.1607
0.0204311	0.4515	43.8516	12.2602	21.2392
0.0204311	0.46	28.6691	10.4015	11.8004
0.0204311	0.4685	18.407	8.7728	5.9749
0.0204311	0.477	12.0609	7.34596	2.8425
0.0204311	0.4855	8.41825	6.06859	1.55536
0.0204311	0.494	6.41266	4.97221	1.29166
0.0204311	0.5025	5.22257	4.03445	1.37112
0.0204311	0.511	4.22151	3.26624	1.422
0.0204311	0.5195	3.23837	2.62577	1.35016
0.0204311	0.528	2.48881	2.12351	1.27824
0.0204311	0.5365	2.48199	1.74421	1.63088
0.0204311	0.545	4.07355	1.48766	3.09727
0.0204311	0.5535	8.29344	1.34523	6.50466
0.0204311	0.562	16.1808	1.32234	12.7219
0.0204311	0.5705	28.4568	1.41194	22.6992
0.0204311	0.579	46.0495	1.6082	37.1859
