#x	y	new0	0_E	0_M
0.426	0.002464	115.221	5.65217	85.6695
0.426	0.0024715	113.056	5.6892	83.3257
0.426	0.002479	111.907	5.73293	81.5229
0.426	0.0024865	110.855	5.7832	80.1829
0.426	0.002494	110.296	5.84753	79.1544
0.426	0.0025015	109.523	5.90362	78.4004
0.426	0.002509	109.546	5.97375	77.9634
0.426	0.0025165	109.262	6.02993	77.7561
0.426	0.002524	109.319	6.08976	77.6479
0.426	0.0025315	109.775	6.15623	77.6305
0.426	0.002539	110.63	6.2294	77.7886
0.426	0.0025465	111.878	6.3089	78.2783
0.426	0.002554	113.529	6.38868	79.125
0.4345	0.002464	86.3449	4.58094	63.0081
0.4345	0.0024715	83.7014	4.61391	60.2213
0.4345	0.002479	81.8738	4.65466	58.105
0.4345	0.0024865	80.3701	4.70163	56.5668
0.4345	0.002494	79.1661	4.7548	55.4578
0.4345	0.0025015	78.394	4.79317	54.6438
0.4345	0.002509	77.6511	4.83726	54.1594
0.4345	0.0025165	77.2641	4.88757	53.9482
0.4345	0.002524	77.2403	4.94422	53.8392
0.4345	0.0025315	77.5847	5.00672	53.8085
0.4345	0.002539	78.3475	5.07554	53.9218
0.4345	0.0025465	79.5438	5.14636	54.3665
0.4345	0.002554	81.1492	5.15669	55.1816
0.443	0.002464	62.4736	3.72003	44.8385
0.443	0.0024715	59.5591	3.75227	41.9951
0.443	0.002479	56.9952	3.783	39.5149
0.443	0.0024865	55.2351	3.80754	37.7846
0.443	0.002494	53.7213	3.8377	36.5371
0.443	0.0025015	52.8285	3.8737	35.7006
0.443	0.002509	52.0564	3.91538	35.1906
0.443	0.0025165	51.62	3.96282	34.9969
0.443	0.002524	51.5945	4.01605	34.9139
0.443	0.0025315	51.8983	4.07509	34.8662
0.443	0.002539	52.6317	4.12337	34.9718
0.443	0.0025465	53.8101	4.17328	35.4277
0.443	0.002554	55.4502	4.14711	36.2679
0.4515	0.002464	43.4726	2.9628	30.9619
0.4515	0.0024715	40.3424	2.97845	28.0098
0.4515	0.002479	37.8449	2.99781	25.6557
0.4515	0.0024865	35.7675	3.02303	23.6627
0.4515	0.002494	34.232	3.05415	22.3816
0.4515	0.0025015	33.3144	3.09116	21.5531
0.4515	0.002509	32.5849	3.13405	21.0633
0.4515	0.0025165	32.1664	3.18414	20.8897
0.4515	0.002524	32.1287	3.23784	20.8107
0.4515	0.0025315	32.5137	3.28939	20.7844
0.4515	0.002539	33.2011	3.33506	20.9012
0.4515	0.0025465	34.3364	3.37473	21.3937
0.4515	0.002554	35.9464	3.3482	22.3192
0.46	0.002464	29.8404	2.19698	20.5768
0.46	0.0024715	26.6217	2.20654	17.8465
0.46	0.002479	23.9848	2.22507	15.4839
0.46	0.0024865	21.9176	2.24908	13.6497
0.46	0.002494	20.3107	2.27862	12.3899
0.46	0.0025015	19.327	2.31371	11.6749
0.46	0.002509	18.7059	2.35438	11.2956
0.46	0.0025165	18.3088	2.39575	11.1821
0.46	0.002524	18.2601	2.42832	11.1249
0.46	0.0025315	18.6392	2.4664	11.1074
0.46	0.002539	19.4421	2.50998	11.2641
0.46	0.0025465	20.6776	2.53345	11.817
0.46	0.002554	22.4006	2.52001	12.7879
0.4685	0.002464	19.931	1.60777	13.2274
0.4685	0.0024715	17.1723	1.6204	10.8355
0.4685	0.002479	14.7112	1.63822	8.76911
0.4685	0.0024865	12.7098	1.66119	7.0624
0.4685	0.002494	11.1301	1.68934	5.90727
0.4685	0.0025015	10.0616	1.71787	5.34594
0.4685	0.002509	9.50215	1.73811	5.14137
0.4685	0.0025165	9.16153	1.76431	5.0849
0.4685	0.002524	9.27296	1.79566	5.05467
0.4685	0.0025315	9.77435	1.83261	5.07974
0.4685	0.002539	10.726	1.85658	5.4034
0.4685	0.0025465	12.1058	1.84932	6.10392
0.4685	0.002554	13.9862	1.83587	7.19827
0.477	0.002464	13.4377	1.19642	8.35558
0.477	0.0024715	10.9009	1.20887	6.3069
0.477	0.002479	8.74449	1.22613	4.6128
0.477	0.0024865	6.97542	1.23715	3.26181
0.477	0.002494	5.57572	1.24822	2.28303
0.477	0.0025015	4.61248	1.26464	1.86321
0.477	0.002509	4.14458	1.28473	1.79026
0.477	0.0025165	3.97868	1.31016	1.76051
0.477	0.002524	4.2424	1.33076	1.74876
0.477	0.0025315	4.89524	1.34971	1.89219
0.477	0.002539	6.0144	1.35525	2.40641
0.477	0.0025465	7.56626	1.34501	3.30728
0.477	0.002554	9.54572	1.33524	4.60774
0.4855	0.002464	9.72839	0.79218	5.51784
0.4855	0.0024715	7.39703	0.80491	3.75241
0.4855	0.002479	5.45358	0.820488	2.34883
0.4855	0.0024865	3.92796	0.82696	1.30845
0.4855	0.002494	2.74513	0.838404	0.633453
0.4855	0.0025015	1.98018	0.854813	0.38448
0.4855	0.002509	1.61708	0.876259	0.362265
0.4855	0.0025165	1.62912	0.902925	0.349695
0.4855	0.002524	1.99993	0.920075	0.368171
0.4855	0.0025315	2.73168	0.939898	0.677785
0.4855	0.002539	3.93306	0.952854	1.3701
0.4855	0.0025465	5.57005	0.95111	2.46417
0.4855	0.002554	7.73507	0.943065	3.96646
0.494	0.002464	7.92268	0.452892	4.06671
0.494	0.0024715	5.74353	0.450731	2.52901
0.494	0.002479	3.94773	0.453183	1.35862
0.494	0.0024865	2.56263	0.460337	0.556788
0.494	0.002494	1.53185	0.472073	0.125649
0.494	0.0025015	0.905971	0.488419	0.0400841
0.494	0.002509	0.654873	0.499849	0.0319687
0.494	0.0025165	0.741479	0.510473	0.0312632
0.494	0.002524	1.21118	0.525727	0.121822
0.494	0.0025315	2.09062	0.532582	0.57022
0.494	0.002539	3.44579	0.534501	1.40857
0.494	0.0025465	5.24739	0.535335	2.65037
0.494	0.002554	7.585	0.532416	4.31023
0.5025	0.002464	6.95433	0.237066	3.4417
0.5025	0.0024715	4.87092	0.236234	2.05367
0.5025	0.002479	3.20484	0.239705	1.03624
0.5025	0.0024865	1.9356	0.247491	0.390633
0.5025	0.002494	1.04272	0.249942	0.118433
0.5025	0.0025015	0.540381	0.25275	0.101754
0.5025	0.002509	0.419057	0.259848	0.100993
0.5025	0.0025165	0.62354	0.268263	0.109309
0.5025	0.002524	1.21163	0.270734	0.294665
0.5025	0.0025315	2.21388	0.274683	0.829429
0.5025	0.002539	3.6946	0.27342	1.75689
0.5025	0.0025465	5.63531	0.276435	3.09267
0.5025	0.002554	8.03552	0.278535	4.85647
0.511	0.002464	6.57178	0.166086	3.25947
0.511	0.0024715	4.55061	0.165084	1.92799
0.511	0.002479	2.94993	0.157442	0.967996
0.511	0.0024865	1.73175	0.153748	0.380192
0.511	0.002494	0.909517	0.153978	0.167181
0.511	0.0025015	0.464096	0.156823	0.160476
0.511	0.002509	0.406222	0.157161	0.163023
0.511	0.0025165	0.68448	0.157464	0.18024
0.511	0.002524	1.33986	0.160348	0.405554
0.511	0.0025315	2.40187	0.159387	0.961031
0.511	0.002539	3.78733	0.160127	1.9143
0.511	0.0025465	5.72398	0.163324	3.27258
0.511	0.002554	8.19522	0.168775	5.06579
0.5195	0.002464	6.57712	0.0874006	3.3776
0.5195	0.0024715	4.55424	0.0874426	2.00428
0.5195	0.002479	2.94998	0.079252	1.00086
0.5195	0.0024865	1.7106	0.074867	0.368636
0.5195	0.002494	0.848124	0.074694	0.10934
0.5195	0.0025015	0.340036	0.0787437	0.0968211
0.5195	0.002509	0.222243	0.0817874	0.0985414
0.5195	0.0025165	0.440018	0.0817119	0.108322
0.5195	0.002524	1.04378	0.0858502	0.277658
0.5195	0.0025315	2.06788	0.0906573	0.791204
0.5195	0.002539	3.56941	0.0915115	1.69618
0.5195	0.0025465	5.53454	0.0965861	3.00765
0.5195	0.002554	8.03441	0.105891	4.73862
0.528	0.002464	6.9779	0.0415788	3.9182
0.528	0.0024715	4.84169	0.0314049	2.41001
0.528	0.002479	3.12081	0.0251174	1.26778
0.528	0.0024865	1.75172	0.0227301	0.492877
0.528	0.002494	0.80107	0.0233347	0.0875808
0.528	0.0025015	0.209913	0.017489	0.0190126
0.528	0.002509	0.0155386	0.0155386	0.0155386
0.528	0.0025165	0.212233	0.0165797	0.0189763
0.528	0.002524	0.814067	0.0197166	0.0859407
0.528	0.0025315	1.83039	0.0220111	0.492821
0.528	0.002539	3.32553	0.0238051	1.28523
0.528	0.0025465	5.2832	0.0277068	2.48455
0.528	0.002554	7.76979	0.0337412	4.08677
0.5365	0.002464	8.18261	0.109284	5.24609
0.5365	0.0024715	5.92578	0.102683	3.52511
0.5365	0.002479	4.06822	0.0972156	2.16407
0.5365	0.0024865	2.55967	0.0878909	1.1645
0.5365	0.002494	1.47779	0.0822508	0.522317
0.5365	0.0025015	0.748885	0.0792369	0.326636
0.5365	0.002509	0.456073	0.0779816	0.315151
0.5365	0.0025165	0.624405	0.078503	0.307014
0.5365	0.002524	1.19376	0.0808221	0.309224
0.5365	0.0025315	2.17155	0.0830401	0.558026
0.5365	0.002539	3.62135	0.0845093	1.18678
0.5365	0.0025465	5.49241	0.0877919	2.21535
0.5365	0.002554	7.79754	0.0929069	3.64891
0.545	0.002464	10.9198	0.295245	7.83543
0.545	0.0024715	8.50284	0.285191	5.86662
0.545	0.002479	6.48624	0.275406	4.25014
0.545	0.0024865	4.81291	0.26956	2.95588
0.545	0.002494	3.56085	0.265147	2.06401
0.545	0.0025015	2.72999	0.26218	1.72785
0.545	0.002509	2.3509	0.260676	1.68375
0.545	0.0025165	2.47058	0.260655	1.66199
0.545	0.002524	3.03372	0.262138	1.64425
0.545	0.0025315	3.95827	0.264374	1.72219
0.545	0.002539	5.26797	0.26545	2.15425
0.545	0.0025465	7.02458	0.268044	2.96979
0.545	0.002554	9.25341	0.27218	4.18167
0.5535	0.002464	15.9555	0.526539	12.3307
0.5535	0.0024715	13.3766	0.520907	10.0194
0.5535	0.002479	11.1735	0.503866	8.05552
0.5535	0.0024865	9.32593	0.495895	6.49057
0.5535	0.002494	7.91116	0.491395	5.49207
0.5535	0.0025015	7.00952	0.488829	5.00707
0.5535	0.002509	6.66591	0.488023	4.868
0.5535	0.0025165	6.74195	0.488995	4.83315
0.5535	0.002524	7.35402	0.491764	4.79933
0.5535	0.0025315	8.18868	0.496352	4.77888
0.5535	0.002539	9.42042	0.500063	5.0048
0.5535	0.0025465	11.1168	0.504024	5.60391
0.5535	0.002554	13.2723	0.509813	6.60778
