#x	y	new0_fix	flux_lukas
0.426	-3.14159	166.213	162.126
0.426	-3.03687	154.904	151.125
0.426	-2.93215	144.856	141.373
0.426	-2.82743	136.185	132.967
0.426	-2.72271	128.918	125.516
0.426	-2.61799	123.083	119.663
0.426	-2.51327	118.542	115.491
0.426	-2.40855	115.139	112.026
0.426	-2.30383	112.711	109.532
0.426	-2.19911	111.088	107.843
0.426	-2.0944	109.996	106.793
0.426	-1.98968	109.48	106.228
0.426	-1.88496	109.262	106.015
0.426	-1.78024	109.288	106.035
0.426	-1.67552	109.476	105.623
0.426	-1.5708	109.777	106.418
0.426	-1.46608	110.141	106.346
0.426	-1.36136	110.11	106.595
0.426	-1.25664	110.618	106.763
0.426	-1.15192	111.756	107.797
0.426	-1.0472	111.684	108.99
0.426	-0.942478	114.379	110.78
0.426	-0.837758	116.395	112.536
0.426	-0.733038	119.781	115.869
0.426	-0.628319	124.308	120.301
0.426	-0.523599	130.099	125.998
0.426	-0.418879	137.166	133.106
0.426	-0.314159	145.762	141.744
0.426	-0.20944	155.969	151.993
0.426	-0.10472	167.581	163.588
0.426	-2.66454e-15	180.611	176.659
0.426	0.10472	195.142	191.886
0.426	0.20944	211.04	207.168
0.426	0.314159	228.12	224.269
0.426	0.418879	247.066	242.877
0.426	0.523599	265.613	261.455
0.426	0.628319	284.338	280.211
0.426	0.733038	302.793	298.693
0.426	0.837758	319.628	315.534
0.426	0.942478	335.966	332.106
0.426	1.0472	349.822	346.65
0.426	1.15192	362.736	358.326
0.426	1.25664	371.024	367.765
0.426	1.36136	377.122	374.162
0.426	1.46608	380.892	377.28
0.426	1.5708	379.048	377.022
0.426	1.67552	375.966	372.528
0.426	1.78024	369.018	366.439
0.426	1.88496	359.45	356.469
0.426	1.98968	345.664	343.697
0.426	2.0944	332.01	328.892
0.426	2.19911	313.865	311.241
0.426	2.30383	296.293	295.386
0.426	2.40855	279.62	276.243
0.426	2.51327	261.159	257.93
0.426	2.61799	242.938	239.671
0.426	2.72271	225.33	222.022
0.426	2.82743	207.356	205.291
0.426	2.93215	193.118	189.721
0.426	3.03687	178.936	174.873
0.426	3.14159	166.213	162.126
0.4345	-3.14159	132.249	130.068
0.4345	-3.03687	121.233	119.016
0.4345	-2.93215	111.746	109.847
0.4345	-2.82743	103.367	101.438
0.4345	-2.72271	96.4336	94.4917
0.4345	-2.61799	90.8862	88.9013
0.4345	-2.51327	86.4859	84.5348
0.4345	-2.40855	83.095	81.1211
0.4345	-2.30383	80.6598	78.6654
0.4345	-2.19911	79.0127	77.0008
0.4345	-2.0944	77.9916	75.965
0.4345	-1.98968	77.4452	75.3979
0.4345	-1.88496	77.2403	75.126
0.4345	-1.78024	77.2641	75.0848
0.4345	-1.67552	77.3767	75.1956
0.4345	-1.5708	77.5942	75.1623
0.4345	-1.46608	77.9089	75.7329
0.4345	-1.36136	78.3512	75.926
0.4345	-1.25664	78.9504	76.3088
0.4345	-1.15192	79.6548	77.0754
0.4345	-1.0472	80.7874	78.2297
0.4345	-0.942478	82.8622	80.1235
0.4345	-0.837758	85.2057	82.494
0.4345	-0.733038	88.4037	85.7752
0.4345	-0.628319	92.7943	90.1409
0.4345	-0.523599	98.3783	95.7557
0.4345	-0.418879	105.357	102.765
0.4345	-0.314159	113.798	111.188
0.4345	-0.20944	123.536	120.958
0.4345	-0.10472	134.845	132.298
0.4345	-2.66454e-15	147.53	144.795
