#x	y	new0_flux	flux_lukas_flux
-3.14159	0.002464	144.774	144.233
-3.14159	0.0024715	134.39	133.977
-3.14159	0.002479	125.224	124.92
-3.14159	0.0024865	117.3	117.086
-3.14159	0.002494	110.642	110.499
-3.14159	0.0025015	105.275	105.184
-3.14159	0.002509	101.223	101.164
-3.14159	0.0025165	98.5098	98.4638
-3.14159	0.002524	97.1592	97.107
-3.14159	0.0025315	97.195	97.1176
-3.14159	0.002539	98.6411	98.5194
-3.14159	0.0025465	101.521	101.336
-3.14159	0.002554	105.857	105.59
-3.03687	0.002464	125.955	125.449
-3.03687	0.0024715	115.633	115.238
-3.03687	0.002479	106.495	106.203
-3.03687	0.0024865	98.6044	98.398
-3.03687	0.002494	91.9869	91.846
-3.03687	0.0025015	86.6669	86.572
-3.03687	0.002509	82.6688	82.6005
-3.03687	0.0025165	80.0173	79.9559
-3.03687	0.002524	78.7364	78.6626
-3.03687	0.0025315	78.8506	78.7449
-3.03687	0.002539	80.3837	80.2269
-3.03687	0.0025465	83.3595	83.1326
-3.03687	0.002554	87.8016	87.4854
-2.93215	0.002464	108.909	108.431
-2.93215	0.0024715	98.6814	98.3233
-2.93215	0.002479	89.6727	89.4157
-2.93215	0.0024865	81.9075	81.7322
-2.93215	0.002494	75.4105	75.2975
-2.93215	0.0025015	70.2062	70.136
-2.93215	0.002509	66.3192	66.2723
-2.93215	0.0025165	63.7739	63.7307
-2.93215	0.002524	62.5946	62.5358
-2.93215	0.0025315	62.8055	62.7117
-2.93215	0.002539	64.4307	64.2827
-2.93215	0.0025465	67.436	67.2072
-2.93215	0.002554	71.8561	71.5444
-2.82743	0.002464	94.0104	93.5663
-2.82743	0.0024715	83.9431	83.6161
-2.82743	0.002479	75.0906	74.8615
-2.82743	0.0024865	67.4774	67.3267
-2.82743	0.002494	61.128	61.0291
-2.82743	0.0025015	56.0244	55.947
-2.82743	0.002509	52.2252	52.1613
-2.82743	0.0025165	49.665	49.604
-2.82743	0.002524	48.4701	48.3998
-2.82743	0.0025315	48.672	48.5729
-2.82743	0.002539	50.2947	50.1476
-2.82743	0.0025465	53.3621	53.1479
-2.82743	0.002554	57.8979	57.5975
-2.72271	0.002464	81.2411	80.8252
-2.72271	0.0024715	71.292	70.9725
-2.72271	0.002479	62.5329	62.3089
-2.72271	0.0024865	55.0185	54.852
-2.72271	0.002494	48.6744	48.5555
-2.72271	0.0025015	43.6077	43.5345
-2.72271	0.002509	39.8607	39.8137
-2.72271	0.0025165	37.4579	37.4177
-2.72271	0.002524	36.4237	36.3709
-2.72271	0.0025315	36.7825	36.6978
-2.72271	0.002539	38.5584	38.4225
-2.72271	0.0025465	41.7753	41.5692
-2.72271	0.002554	46.4567	46.1614
-2.61799	0.002464	70.2447	69.8178
-2.61799	0.0024715	60.388	60.0491
-2.61799	0.002479	51.7171	51.4789
-2.61799	0.0024865	44.2886	44.1318
-2.61799	0.002494	38.1272	38.0324
-2.61799	0.0025015	33.2576	33.2053
-2.61799	0.002509	29.7044	29.6752
-2.61799	0.0025165	27.4922	27.4666
-2.61799	0.002524	26.6454	26.6041
-2.61799	0.0025315	27.1884	27.1121
-2.61799	0.002539	29.1453	29.0147
-2.61799	0.0025465	32.5399	32.3361
-2.61799	0.002554	37.3959	37.1
-2.51327	0.002464	60.8055	60.3776
-2.51327	0.0024715	51.1484	50.8373
-2.51327	0.002479	42.7063	42.4927
-2.51327	0.0024865	35.504	35.3686
-2.51327	0.002494	29.5661	29.4895
-2.51327	0.0025015	24.9173	24.8801
-2.51327	0.002509	21.5799	21.5371
-2.51327	0.0025165	19.5474	19.505
-2.51327	0.002524	18.888	18.8264
-2.51327	0.0025315	19.6261	19.5259
-2.51327	0.002539	21.7861	21.628
-2.51327	0.0025465	25.3922	25.1571
-2.51327	0.002554	30.4682	30.1372
-2.40855	0.002464	53.0194	52.617
-2.40855	0.0024715	43.6138	43.325
-2.40855	0.002479	35.4212	35.2267
-2.40855	0.0024865	28.4661	28.3367
-2.40855	0.002494	22.7175	22.6371
-2.40855	0.0025015	18.2583	18.2144
-2.40855	0.002509	15.1204	15.0934
-2.40855	0.0025165	13.3287	13.299
-2.40855	0.002524	12.9078	12.8561
-2.40855	0.0025315	13.8825	13.7893
-2.40855	0.002539	16.2769	16.1231
-2.40855	0.0025465	20.1153	19.8818
-2.40855	0.002554	25.4215	25.0894
-2.30383	0.002464	46.6814	46.2994
-2.30383	0.0024715	37.5457	37.2743
-2.30383	0.002479	29.5831	29.3938
-2.30383	0.0024865	22.8252	22.7084
-2.30383	0.002494	17.3371	17.2733
-2.30383	0.0025015	13.1439	13.1137
-2.30383	0.002509	10.2705	10.2544
-2.30383	0.0025165	8.7418	8.72022
-2.30383	0.002524	8.58245	8.5361
-2.30383	0.0025315	9.81708	9.72666
-2.30383	0.002539	12.4401	12.2745
-2.30383	0.0025465	16.4507	16.2499
-2.30383	0.002554	21.9037	21.6156
-2.19911	0.002464	41.5434	41.1777
-2.19911	0.0024715	32.6483	32.3877
-2.19911	0.002479	24.9336	24.762
-2.19911	0.0024865	18.4628	18.3609
-2.19911	0.002494	13.261	13.2095
-2.19911	0.0025015	9.35325	9.33252
-2.19911	0.002509	6.7644	6.7551
-2.19911	0.0025165	5.51731	5.48543
-2.19911	0.002524	5.56855	5.52304
-2.19911	0.0025315	6.97808	6.90934
-2.19911	0.002539	9.80547	9.68095
-2.19911	0.0025465	14.0747	13.8756
-2.19911	0.002554	19.8096	19.5171
-2.0944	0.002464	37.3352	36.9853
-2.0944	0.0024715	28.7055	28.4612
-2.0944	0.002479	21.2945	21.1367
-2.0944	0.0024865	15.1272	15.0365
-2.0944	0.002494	10.2287	10.1857
-2.0944	0.0025015	6.61	6.58307
-2.0944	0.002509	4.21734	4.20866
-2.0944	0.0025165	3.1691	3.1595
-2.0944	0.002524	3.4899	3.46025
-2.0944	0.0025315	5.20416	5.13542
-2.0944	0.002539	8.33614	8.20939
-2.0944	0.0025465	12.9098	12.7063
-2.0944	0.002554	18.949	18.6501
-1.98968	0.002464	33.8314	33.4971
-1.98968	0.0024715	25.5186	25.2875
-1.98968	0.002479	18.425	18.2779
-1.98968	0.0024865	12.5423	12.4325
-1.98968	0.002494	7.85562	7.80019
-1.98968	0.0025015	4.46433	4.44406
-1.98968	0.002509	2.39325	2.38898
-1.98968	0.0025165	1.6671	1.65971
-1.98968	0.002524	2.3105	2.28093
-1.98968	0.0025315	4.34788	4.27716
-1.98968	0.002539	7.80349	7.67277
-1.98968	0.0025465	12.7013	12.4919
-1.98968	0.002554	19.0651	18.7585
-1.88496	0.002464	30.8634	30.5419
-1.88496	0.0024715	22.8585	22.596
-1.88496	0.002479	15.9868	15.8145
-1.88496	0.0024865	10.3618	10.2608
-1.88496	0.002494	6.00846	5.95962
-1.88496	0.0025015	2.95164	2.93587
-1.88496	0.002509	1.21618	1.21439
-1.88496	0.0025165	0.826821	0.819953
-1.88496	0.002524	1.80817	1.77724
-1.88496	0.0025315	4.18468	4.11079
-1.88496	0.002539	7.98058	7.84495
-1.88496	0.0025465	13.2199	13.0039
-1.88496	0.002554	19.9263	19.6115
-1.78024	0.002464	28.1874	27.8285
-1.78024	0.0024715	20.432	20.1802
-1.78024	0.002479	13.9002	13.7366
-1.78024	0.0024865	8.61679	8.52252
-1.78024	0.002494	4.60682	4.56282
-1.78024	0.0025015	1.89518	1.88239
-1.78024	0.002509	0.5067	0.50612
-1.78024	0.0025165	0.466139	0.45878
-1.78024	0.002524	1.79811	1.76506
-1.78024	0.0025315	4.52706	4.44948
-1.78024	0.002539	8.67721	8.53642
