#x	y	new0_flux	flux_lukas_flux
0.0178175	0.002464	84.0404	82.5638
0.0178175	0.0024715	77.1094	75.7886
0.0178175	0.002479	71.4685	70.2855
0.0178175	0.0024865	66.9595	65.9111
0.0178175	0.002494	63.5983	62.6522
0.0178175	0.0025015	61.3973	60.5432
0.0178175	0.002509	60.393	59.6057
0.0178175	0.0025165	60.43	59.6931
0.0178175	0.002524	61.6794	60.9689
0.0178175	0.0025315	64.1699	63.474
0.0178175	0.002539	67.7657	67.0562
0.0178175	0.0025465	72.7914	72.0459
0.0178175	0.002554	78.997	78.2149
0.0184709	0.002464	63.5899	62.4247
0.0184709	0.0024715	56.9099	55.9092
0.0184709	0.002479	51.4144	50.5422
0.0184709	0.0024865	47.1324	46.3826
0.0184709	0.002494	43.9022	43.2453
0.0184709	0.0025015	41.8587	41.283
0.0184709	0.002509	40.9704	40.4519
0.0184709	0.0025165	41.0976	40.6198
0.0184709	0.002524	42.3755	41.9158
0.0184709	0.0025315	44.8568	44.3932
0.0184709	0.002539	48.5184	48.0429
0.0184709	0.0025465	53.4425	52.9252
0.0184709	0.002554	59.7205	59.1566
0.0191243	0.002464	47.2164	46.3259
0.0191243	0.0024715	40.8249	40.0855
0.0191243	0.002479	35.4745	34.8546
0.0191243	0.0024865	31.4112	30.9006
0.0191243	0.002494	28.3117	27.8858
0.0191243	0.0025015	26.4205	26.0648
0.0191243	0.002509	25.6339	25.3265
0.0191243	0.0025165	25.8631	25.5864
0.0191243	0.002524	27.1704	26.9037
0.0191243	0.0025315	29.6226	29.3454
0.0191243	0.002539	33.3504	33.0423
0.0191243	0.0025465	38.2031	37.857
0.0191243	0.002554	44.5468	44.1338
0.0197777	0.002464	34.7203	34.0473
0.0197777	0.0024715	28.5882	28.0433
0.0197777	0.002479	23.4008	22.9761
0.0197777	0.0024865	19.4806	19.1482
0.0197777	0.002494	16.5793	16.3276
0.0197777	0.0025015	14.8353	14.6431
0.0197777	0.002509	14.1393	13.986
0.0197777	0.0025165	14.4596	14.3254
0.0197777	0.002524	15.8167	15.6869
0.0197777	0.0025315	18.2436	18.0967
0.0197777	0.002539	21.8893	21.7064
0.0197777	0.0025465	26.8252	26.5947
0.0197777	0.002554	33.0216	32.7202
0.0204311	0.002464	25.873	25.3614
0.0204311	0.0024715	19.8898	19.4977
0.0204311	0.002479	14.9653	14.6801
0.0204311	0.0024865	11.1799	10.9783
0.0204311	0.002494	8.4773	8.34426
0.0204311	0.0025015	6.87572	6.79156
0.0204311	0.002509	6.26826	6.21398
0.0204311	0.0025165	6.62458	6.58179
0.0204311	0.002524	7.99224	7.943
0.0204311	0.0025315	10.492	10.4209
0.0204311	0.002539	14.0618	13.9499
0.0204311	0.0025465	18.9946	18.8246
0.0204311	0.002554	25.1389	24.8952
0.0210845	0.002464	20.405	19.9968
0.0210845	0.0024715	14.5233	14.2233
0.0210845	0.002479	9.83825	9.6325
0.0210845	0.0024865	6.15814	6.02393
0.0210845	0.002494	3.64856	3.57002
0.0210845	0.0025015	2.18884	2.14628
0.0210845	0.002509	1.67164	1.64613
0.0210845	0.0025165	2.06713	2.04035
0.0210845	0.002524	3.42418	3.37829
0.0210845	0.0025315	5.86815	5.78562
0.0210845	0.002539	9.56949	9.43403
0.0210845	0.0025465	14.4048	14.1985
0.0210845	0.002554	20.6877	20.3967
0.021738	0.002464	17.8091	17.4858
0.021738	0.0024715	12.0773	11.8541
0.021738	0.002479	7.59196	7.4501
0.021738	0.0024865	4.09393	4.01533
0.021738	0.002494	1.77088	1.73643
0.021738	0.0025015	0.446371	0.437868
0.021738	0.002509	0.0155386	0.0155386
0.021738	0.0025165	0.449802	0.441472
0.021738	0.002524	1.79811	1.76506
0.021738	0.0025315	4.18468	4.11079
0.021738	0.002539	7.80349	7.67277
0.021738	0.0025465	12.7013	12.4919
0.021738	0.002554	18.949	18.6501
0.0223914	0.002464	17.9173	17.6408
0.0223914	0.0024715	12.2529	12.0492
0.0223914	0.002479	7.77967	7.65256
0.0223914	0.0024865	4.4062	4.33879
0.0223914	0.002494	2.17503	2.14694
0.0223914	0.0025015	0.926434	0.919763
0.0223914	0.002509	0.54997	0.546053
0.0223914	0.0025165	0.947897	0.929448
0.0223914	0.002524	2.23743	2.18786
0.0223914	0.0025315	4.66537	4.56619
0.0223914	0.002539	8.21938	8.05495
0.0223914	0.0025465	13.1344	12.8999
0.0223914	0.002554	19.3586	19.0154
0.0230448	0.002464	18.3151	18.0268
0.0230448	0.0024715	12.7272	12.5341
0.0230448	0.002479	8.2842	8.16665
0.0230448	0.0024865	4.9823	4.89137
0.0230448	0.002494	2.64681	2.60384
0.0230448	0.0025015	1.34924	1.33648
0.0230448	0.002509	0.985213	0.984094
0.0230448	0.0025165	1.37006	1.36323
0.0230448	0.002524	2.60292	2.57451
0.0230448	0.0025315	4.89827	4.82957
0.0230448	0.002539	8.38001	8.2556
0.0230448	0.0025465	13.2012	13.0006
0.0230448	0.002554	19.3131	19.0237
0.0236982	0.002464	19.3331	19.027
0.0236982	0.0024715	13.822	13.6102
0.0236982	0.002479	9.3796	9.24561
0.0236982	0.0024865	6.16742	6.08987
0.0236982	0.002494	3.94386	3.90719
0.0236982	0.0025015	2.80267	2.78583
0.0236982	0.002509	2.52097	2.50667
0.0236982	0.0025165	2.8432	2.82056
0.0236982	0.002524	4.01883	3.9713
0.0236982	0.0025315	6.32868	6.24092
0.0236982	0.002539	9.79095	9.63816
0.0236982	0.0025465	14.6139	14.3885
0.0236982	0.002554	20.6479	20.3221
0.0243516	0.002464	21.621	21.2556
0.0243516	0.0024715	16.1411	15.8717
0.0243516	0.002479	11.6806	11.4944
0.0243516	0.0024865	8.47377	8.35264
0.0243516	0.002494	6.2248	6.1449
0.0243516	0.0025015	5.0814	5.02562
0.0243516	0.002509	4.8227	4.77482
0.0243516	0.0025165	5.14103	5.094
0.0243516	0.002524	6.26881	6.20624
0.0243516	0.0025315	8.51906	8.42663
0.0243516	0.002539	11.8902	11.7397
0.0243516	0.0025465	16.633	16.4215
0.0243516	0.002554	22.5533	22.2487
0.025005	0.002464	25.1372	24.7497
0.025005	0.0024715	19.8717	19.579
0.025005	0.002479	15.5583	15.3305
0.025005	0.0024865	12.4607	12.2912
0.025005	0.002494	10.3975	10.2578
0.025005	0.0025015	9.39538	9.26986
0.025005	0.002509	9.2077	9.08138
0.025005	0.0025165	9.45632	9.32824
0.025005	0.002524	10.5423	10.396
0.025005	0.0025315	12.7101	12.5326
0.025005	0.002539	16.1597	15.9169
0.025005	0.0025465	20.77	20.4661
0.025005	0.002554	26.7521	26.3478
0.0256584	0.002464	30.0346	29.5107
0.0256584	0.0024715	24.7525	24.3311
0.0256584	0.002479	20.4174	20.0658
0.0256584	0.0024865	17.2823	16.9976
0.0256584	0.002494	15.1899	14.9412
0.0256584	0.0025015	14.1588	13.9317
0.0256584	0.002509	13.9886	13.7694
0.0256584	0.0025165	14.2724	14.0643
0.0256584	0.002524	15.335	15.1216
0.0256584	0.0025315	17.4761	17.2457
0.0256584	0.002539	20.8078	20.5228
0.0256584	0.0025465	25.3764	25.0458
0.0256584	0.002554	31.2129	30.7931
