#x	y	new0	new11a	new11b	new8
0.426	-3.14159	166.213	165.889	166.241	166.186
0.426	-3.03687	154.904	154.598	154.879	154.855
0.426	-2.93215	144.856	144.551	145.111	144.379
0.426	-2.82743	136.185	135.954	136.44	136.117
0.426	-2.72271	128.918	128.689	129.169	128.851
0.426	-2.61799	123.083	122.859	123.329	122.939
0.426	-2.51327	118.542	118.325	118.778	118.479
0.426	-2.40855	115.139	114.931	115.366	115.075
0.426	-2.30383	112.711	112.514	112.928	112.645
0.426	-2.19911	111.088	110.836	111.226	110.947
0.426	-2.0944	109.996	109.822	110.187	109.924
0.426	-1.98968	109.48	109.278	109.652	109.404
0.426	-1.88496	109.262	109.076	109.469	109.182
0.426	-1.78024	109.288	109.117	109.476	109.214
0.426	-1.67552	109.476	109.273	109.358	109.398
0.426	-1.5708	109.777	109.636	109.521	109.695
0.426	-1.46608	110.141	110.053	110.324	110.059
0.426	-1.36136	110.11	109.917	110.841	110.027
0.426	-1.25664	110.618	110.766	110.809	110.523
0.426	-1.15192	111.756	111.298	111.599	111.635
0.426	-1.0472	111.684	111.522	113.165	111.555
0.426	-0.942478	114.379	113.646	113.57	113.876
0.426	-0.837758	116.395	116.227	116.932	116.219
0.426	-0.733038	119.781	119.628	119.948	119.579
0.426	-0.628319	124.308	124.168	124.459	124.077
0.426	-0.523599	130.099	130.018	130.236	129.859
0.426	-0.418879	137.166	137.33	137.292	136.896
0.426	-0.314159	145.762	145.655	145.877	145.459
0.426	-0.20944	155.969	155.87	156.076	155.633
0.426	-0.10472	167.581	167.48	167.68	167.242
0.426	-2.66454e-15	180.611	180.524	180.703	180.24
0.426	0.10472	195.142	195.114	195.229	194.772
0.426	0.20944	211.04	210.962	211.124	210.611
0.426	0.314159	228.12	228.044	228.652	227.646
0.426	0.418879	247.066	246.935	247.204	246.587
0.426	0.523599	265.613	264.809	265.749	264.074
0.426	0.628319	284.338	284.206	283.303	282.708
0.426	0.733038	302.793	302.658	302.117	302.122
0.426	0.837758	319.628	319.518	319.385	318.497
0.426	0.942478	335.966	335.146	335.282	334.851
0.426	1.0472	349.822	349.473	350.615	349.612
0.426	1.15192	362.736	362.605	362.007	361.025
0.426	1.25664	371.024	371.276	371.504	370.871
0.426	1.36136	377.122	377.651	376.944	377.287
0.426	1.46608	380.892	380.007	379.792	379.246
0.426	1.5708	379.048	378.982	379.12	378.615
0.426	1.67552	375.966	376.755	375.122	374.906
0.426	1.78024	369.018	367.753	367.943	367.484
0.426	1.88496	359.45	358.96	359.555	358.812
0.426	1.98968	345.664	346.469	346.993	346.386
0.426	2.0944	332.01	331.851	332.178	331.805
0.426	2.19911	313.865	313.705	315.719	314.825
0.426	2.30383	296.293	297.347	297.646	297.356
0.426	2.40855	279.62	279.403	280.407	277.922
0.426	2.51327	261.159	260.922	261.168	259.55
0.426	2.61799	242.938	242.683	243.215	242.857
0.426	2.72271	225.33	223.745	225.626	225.268
0.426	2.82743	207.356	208.353	208.66	208.594
0.426	2.93215	193.118	192.815	193.447	193.08
0.426	3.03687	178.936	178.621	178.716	178.431
0.426	3.14159	166.213	165.889	166.235	165.769
0.4345	-3.14159	132.249	132.108	132.464	132.219
0.4345	-3.03687	121.233	121.293	121.621	121.206
0.4345	-2.93215	111.746	111.589	111.918	111.703
0.4345	-2.82743	103.367	103.21	103.539	103.325
0.4345	-2.72271	96.4336	96.295	96.6184	96.4071
0.4345	-2.61799	90.8862	90.7362	91.0508	90.8439
0.4345	-2.51327	86.4859	86.3424	86.6435	86.428
0.4345	-2.40855	83.095	82.9588	83.2446	83.0392
0.4345	-2.30383	80.6598	80.5318	80.8002	80.6059
