#	new0	new11a	new11b	new8
-3.14159	0.00590917	-0.00738672	-0.0949341
-3.03687	0.00753749	-0.00943617	-0.0806109
-2.93215	0.00799762	-0.00988662	-0.055636
-2.82743	0.00856871	-0.0106105	-0.045013
-2.72271	0.00861795	-0.0106816	-0.0351209
-2.61799	0.00814791	-0.0100827	-0.0263134
-2.51327	0.00619991	-0.0078595	-0.0145916
-2.40855	0.00513083	-0.00637471	-0.00943467
-2.30383	0.00377087	-0.00468026	-0.00550246
-2.19911	0.0023929	-0.00319128	-0.00267682
-2.0944	0.00141132	-0.00141051	-0.000719197
-1.98968	0.000228536	-0.000241599	0.000134643
-1.88496	0.00365032	-0.00458808	-0.000461897
-1.78024	0.00169514	-0.00213405	-9.33463e-05
-1.67552	0.00043848	-0.000553129	2.89405e-06
-1.5708	0	0	0
-1.46608	0.00043646	-0.000497841	8.80346e-05
-1.36136	0.00174743	-0.00199095	0.000515275
-1.25664	0.0011519	-0.000155134	0.00211899
-1.15192	0.00129495	-0.00161362	0.00357376
-1.0472	0.00359566	-0.00453473	0.00526507
-0.942478	0.00448248	-0.0052764	0.0107012
-0.837758	0.00734152	-0.00863378	0.0156727
-0.733038	0.00791951	-0.00973296	0.00900827
-0.628319	0.0120574	-0.0149919	0.010833
-0.523599	0.0167171	-0.0209624	0.0132534
-0.418879	0.0164343	-0.020878	0.017205
-0.314159	0.008143	-0.0101345	0.0251212
-0.20944	0.0113512	-0.0142327	0.0282507
-0.10472	0.0140234	-0.0175874	0.0152835
-2.66454e-15	0.0170972	-0.0215727	0.0158254
0.10472	0.0192185	-0.0240899	-0.00156411
0.20944	0.0122699	-0.0170121	0.00507099
0.314159	0.0147818	-0.0189801	0.0017872
0.418879	0.0150657	-0.0192818	-0.0229678
0.523599	0.0155038	-0.0198527	-0.0305117
0.628319	0.0738852	0.0410787	-0.00038908
0.733038	0.00525111	-0.00694356	-0.0498296
0.837758	0.00442987	-0.00590341	-0.0623713
0.942478	0.00296845	-0.00394786	-0.0982908
1.0472	0.00186851	-0.0025175	-0.113808
1.15192	0.0075221	-0.0030526	-0.132121
1.25664	0.00480069	-0.00641976	-0.153676
1.36136	0.00259647	-0.00353021	-0.171652
1.46608	0.000915415	-0.00130126	-0.188247
1.5708	5.45586e-05	-0.000104515	-0.20397
1.67552	0.00157591	-0.00221722	-0.221601
1.78024	-0.0395008	-0.000325036	-0.233497
1.88496	0.00017101	-0.000145788	-0.242905
1.98968	0.00168802	-0.00191432	-0.248686
2.0944	0.0048621	-0.00575445	-0.252197
2.19911	0.00123139	-0.00138117	-0.232378
2.30383	0.00406043	-0.00468539	-0.229951
2.40855	0.00179141	-0.00218188	-0.240129
2.51327	0.0041926	-0.0340544	-0.210656
2.61799	0.00803121	-0.00988558	-0.199652
2.72271	0.0119368	-0.0146306	-0.167315
2.82743	0.0148572	-0.00574295	-0.151899
2.93215	0.00708066	-0.00855628	-0.119746
3.03687	0.00997968	-0.0121044	-0.10664
3.14159	0.00590917	-0.00738672	-0.0949341
