#	new0	new11a	new11b	new8
0.0178175	0.00173133	-0.00733448	0.0555862
0.0184709	0.00173284	-0.00284793	0.026887
0.0191243	0.00175451	-0.00198064	0.0163357
0.0197777	0.00170369	-0.00192392	0.00823736
0.0204311	0.00043316	-0.000489052	0.00320121
0.0210845	5.65841e-05	-7.57092e-05	0.000794726
0.021738	0	0	0
0.0223914	0.000346587	-0.000400013	0.000586503
0.0230448	2.0658e-05	-2.44408e-05	-1.95702e-05
0.0236982	0.000497566	0.000350534	0.000998891
0.0243516	0.000600646	8.38977e-05	0.00180784
0.025005	0.00125021	0.000191125	0.006325
0.0256584	0.00104202	-0.00147503	0.00861929
