#x	y	stats	nuenorm1_anti	nuenorm2_anti	nuenorm3_anti	nuenorm4_anti	nuenorm5_anti
0.0178175	0.002464	130.156	125.657	118.21	112.31	108.11	105.164
0.0178175	0.0024715	114.402	110.374	103.396	97.9236	94.1207	91.5377
0.0178175	0.002479	101.454	97.6263	91.2991	86.428	83.0005	80.5883
0.0178175	0.0024865	90.5554	87.2468	81.8521	77.6232	74.6247	72.5772
0.0178175	0.002494	82.492	79.3077	74.4448	70.8832	68.4733	66.8277
0.0178175	0.0025015	77.0333	74.1254	69.6712	66.6098	64.6295	63.31
0.0178175	0.002509	74.3639	71.5375	67.3694	64.7514	63.1873	62.1802
0.0178175	0.0025165	74.2555	71.4494	67.4371	64.9561	63.5676	62.7719
0.0178175	0.002524	76.7816	73.9229	69.7567	67.036	65.3501	64.2588
0.0178175	0.0025315	82.0631	78.9872	74.4615	71.2698	69.1852	67.7865
0.0178175	0.002539	89.8861	86.7501	81.7346	78.007	75.4914	73.7571
0.0178175	0.0025465	100.525	97.0487	91.5514	87.3708	84.4328	82.3362
0.0178175	0.002554	113.8	110.183	104.099	99.357	96.0315	93.7064
0.0184709	0.002464	103.948	100.473	94.7415	90.0714	86.6611	84.2299
0.0184709	0.0024715	88.282	85.2263	79.9465	75.7006	72.6844	70.6134
0.0184709	0.002479	75.5647	72.7023	67.9913	64.2666	61.5838	59.6763
0.0184709	0.0024865	65.566	62.9881	58.7507	55.4773	53.2204	51.633
0.0184709	0.002494	58.1827	55.9111	52.1663	49.3993	47.5261	46.2696
0.0184709	0.0025015	52.879	50.9728	47.9496	45.859	44.4321	43.443
0.0184709	0.002509	50.2696	48.4163	45.6884	44.0022	42.962	42.3456
0.0184709	0.0025165	50.1938	48.3714	45.7713	44.1348	43.2362	42.7231
0.0184709	0.002524	52.688	50.8225	48.0111	46.185	45.0333	44.2823
0.0184709	0.0025315	57.8435	55.7987	52.655	50.3988	48.9058	47.8884
0.0184709	0.002539	65.7005	63.4065	59.8358	57.1148	55.2415	53.9331
0.0184709	0.0025465	76.1206	73.7417	69.694	66.508	64.2309	62.569
0.0184709	0.002554	89.4288	86.6529	82.1122	78.4649	75.835	73.9639
0.0191243	0.002464	83.047	80.6384	76.3441	72.7388	70.0411	68.0987
0.0191243	0.0024715	67.7077	65.4138	61.5684	58.3846	56.0781	54.4927
0.0191243	0.002479	55.0131	53.1179	49.7362	46.9862	44.9655	43.5307
0.0191243	0.0024865	45.2479	43.4249	40.5141	38.2128	36.6148	35.4233
0.0191243	0.002494	38.0667	36.5083	34.0144	32.1436	30.8799	29.9854
0.0191243	0.0025015	33.5993	32.239	30.0955	28.6344	27.7093	27.0492
0.0191243	0.002509	31.7631	30.4835	28.6041	27.4089	26.754	26.3401
0.0191243	0.0025165	31.7196	30.6651	29.1203	28.146	27.4925	27.088
0.0191243	0.002524	34.1829	33.0777	31.3316	30.1995	29.4832	29.0234
0.0191243	0.0025315	39.2155	37.9876	35.9244	34.4218	33.4295	32.7279
0.0191243	0.002539	46.9398	45.4477	43.0269	41.1363	39.8195	38.8718
0.0191243	0.0025465	57.3129	55.6507	52.8143	50.5081	48.8557	47.5941
0.0191243	0.002554	70.4281	68.5174	65.2328	62.5095	60.4948	59.0484
0.0197777	0.002464	67.4313	65.8447	62.7467	59.921	57.6807	56.0761
0.0197777	0.0024715	52.2339	50.6873	48.0038	45.722	44.0506	42.8531
0.0197777	0.002479	39.74	38.4896	36.2516	34.335	32.8963	31.9031
0.0197777	0.0024865	30.0729	28.9375	27.0731	25.5778	24.5197	23.7016
0.0197777	0.002494	23.0441	22.1737	20.6438	19.4974	18.744	18.151
0.0197777	0.0025015	18.7155	17.9938	16.767	15.964	15.4154	15.0979
