#x	y	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
-3.14159	0.002464	197.948	197.896	197.833	197.566	197.3	197.155
-3.14159	0.0024715	176.872	176.831	176.782	176.537	176.287	176.15
-3.14159	0.002479	158.805	158.773	158.735	158.514	158.278	158.148
-3.14159	0.0024865	143.747	143.723	143.695	143.498	143.274	143.152
-3.14159	0.002494	131.699	131.682	131.568	131.462	131.276	131.16
-3.14159	0.0025015	122.496	122.346	122.166	122.071	122.023	121.997
-3.14159	0.002509	116.06	115.927	115.766	115.682	115.639	115.615
-3.14159	0.0025165	112.627	112.508	112.365	112.29	112.252	112.23
-3.14159	0.002524	111.888	111.882	111.875	111.87	111.86	111.841
-3.14159	0.0025315	113.857	113.848	113.837	113.831	113.827	113.825
-3.14159	0.002539	118.811	118.798	118.782	118.773	118.768	118.765
-3.14159	0.0025465	126.742	126.725	126.704	126.693	126.686	126.683
-3.14159	0.002554	137.646	137.623	137.597	137.583	137.575	137.57
-3.03687	0.002464	175.883	175.809	175.508	175.173	174.799	174.573
-3.03687	0.0024715	154.91	154.91	154.534	154.222	154.001	153.785
-3.03687	0.002479	136.944	136.944	136.566	136.276	136.129	136.003
-3.03687	0.0024865	121.987	121.986	121.606	121.335	121.199	121.125
-3.03687	0.002494	109.972	109.92	109.653	109.401	109.274	109.205
-3.03687	0.0025015	100.629	100.586	100.535	100.472	100.354	100.289
-3.03687	0.002509	94.2898	94.2553	94.2139	94.1919	94.1806	94.1602
-3.03687	0.0025165	90.9517	90.9244	90.8916	90.8742	90.865	90.8596
-3.03687	0.002524	90.6116	90.5904	90.5649	90.5513	90.5441	90.5397
-3.03687	0.0025315	93.2045	93.1288	93.0386	92.9509	92.891	92.858
-3.03687	0.002539	98.2475	98.1616	98.0591	97.9718	97.9168	97.8864
-3.03687	0.0025465	106.268	106.171	106.056	105.97	105.919	105.891
-3.03687	0.002554	117.258	117.151	117.024	116.939	116.892	116.867
-2.93215	0.002464	155.743	155.669	155.425	154.891	154.603	154.362
-2.93215	0.0024715	134.984	134.902	134.578	134.196	133.923	133.732
-2.93215	0.002479	117.235	117.031	116.736	116.506	116.248	116.107
-2.93215	0.0024865	102.393	102.17	101.902	101.761	101.579	101.445
-2.93215	0.002494	90.5191	90.3166	90.0737	89.9458	89.8814	89.6827
-2.93215	0.0025015	81.5403	81.4714	81.2514	81.1356	81.0772	80.9174
-2.93215	0.002509	75.3409	75.3408	75.3406	75.2693	75.1102	75.0233
-2.93215	0.0025165	72.1415	72.1412	72.1408	72.0828	71.9326	71.8506
-2.93215	0.002524	71.9386	71.9375	71.9359	71.8915	71.7496	71.6721
-2.93215	0.0025315	74.5752	74.5085	74.4285	74.3864	74.3651	74.3531
-2.93215	0.002539	79.6882	79.6303	79.5608	79.5242	79.5056	79.4951
-2.93215	0.0025465	87.7807	87.7305	87.6703	87.6386	87.6224	87.6133
-2.93215	0.002554	98.8461	98.8028	98.7509	98.7235	98.7095	98.7016
-2.82743	0.002464	138.15	138.018	137.496	137.124	136.859	136.486
-2.82743	0.0024715	117.434	117.319	116.939	116.591	116.374	116.014
-2.82743	0.002479	99.7277	99.6273	99.3906	99.0638	98.895	98.5463
-2.82743	0.0024865	85.0305	84.9439	84.8401	84.5435	84.3892	84.085
-2.82743	0.002494	73.3423	73.2681	73.1791	73.0297	72.8363	72.6296
-2.82743	0.0025015	64.6623	64.5991	64.5233	64.4835	64.2207	64.065
-2.82743	0.002509	58.9884	58.935	58.8706	58.6921	58.6023	58.4588
-2.82743	0.0025165	56.199	56.1472	55.8323	55.6665	55.5831	55.5375
-2.82743	0.002524	56.1747	56.0822	55.7896	55.6356	55.5581	55.5158
-2.82743	0.0025315	58.5926	58.5851	58.576	58.5711	58.5235	58.4841
-2.82743	0.002539	63.8826	63.8777	63.8718	63.8685	63.8667	63.8654
-2.82743	0.0025465	72.1506	72.1477	72.1441	72.1421	72.1408	72.1399
-2.82743	0.002554	83.3901	83.3886	83.3867	83.3856	83.3847	83.384
-2.72271	0.002464	122.815	122.469	122.054	121.835	121.391	121.105
-2.72271	0.0024715	102.328	102.09	101.707	101.505	101.105	100.829
-2.72271	0.002479	84.8493	84.7199	84.3664	84.1803	83.8246	83.5589
-2.72271	0.0024865	70.3782	70.3592	70.0335	69.8621	69.5505	69.2943
-2.72271	0.002494	58.9149	58.905	58.7079	58.5501	58.2826	58.0353
-2.72271	0.0025015	50.4582	50.4519	50.3886	50.1323	49.942	49.7811
-2.72271	0.002509	45.0062	44.9834	44.8258	44.7088	44.528	44.4293
-2.72271	0.0025165	42.2545	42.1361	41.9941	41.9196	41.882	41.8615
-2.72271	0.002524	42.3917	42.2851	42.1573	42.0902	42.0564	42.0379
-2.72271	0.0025315	45.4508	45.4263	45.3114	45.251	45.2206	45.2039
-2.72271	0.002539	50.9576	50.9484	50.9373	50.9315	50.9284	50.9265
-2.72271	0.0025465	59.4407	59.4284	59.4136	59.4057	59.4017	59.3993
-2.72271	0.002554	70.8939	70.8782	70.8593	70.8493	70.8442	70.8412
-2.61799	0.002464	109.37	109.195	108.986	108.672	108.282	108.068
-2.61799	0.0024715	89.2304	89.0742	88.887	88.6088	88.2336	88.0288
-2.61799	0.002479	72.1009	71.9612	71.7937	71.5513	71.1909	70.9943
-2.61799	0.0024865	57.9814	57.8567	57.7072	57.5005	57.1541	56.9651
-2.61799	0.002494	46.8714	46.7604	46.6273	46.4555	46.1231	45.9414
-2.61799	0.0025015	38.7699	38.6712	38.504	38.2703	38.0971	37.8371
-2.61799	0.002509	33.3904	33.3503	33.3022	33.0876	32.977	32.7239
-2.61799	0.0025165	30.7901	30.7566	30.7164	30.6954	30.6679	30.4622
-2.61799	0.002524	31.1857	31.1579	31.1247	31.1073	31.0985	30.9387
-2.61799	0.0025315	34.573	34.5503	34.5231	34.5088	34.5015	34.4051
-2.61799	0.002539	40.7492	40.6849	40.6084	40.5685	40.5119	40.4744
-2.61799	0.0025465	49.4853	49.4136	49.3283	49.2838	49.2364	49.2012
-2.61799	0.002554	61.1898	61.1108	61.0166	60.9677	60.9297	60.8965
-2.51327	0.002464	98.2245	98.16	98.0828	97.6052	97.3225	97.1683
-2.51327	0.0024715	78.387	78.3327	78.2677	77.8199	77.5497	77.4024
-2.51327	0.002479	61.5579	61.5125	61.4583	61.0404	60.7819	60.641
-2.51327	0.0024865	47.7372	47.6998	47.655	47.2672	47.0198	46.885
-2.51327	0.002494	36.9248	36.8942	36.7554	36.5002	36.2631	36.0689
-2.51327	0.0025015	29.1193	29.0847	28.8389	28.7098	28.492	28.2227
-2.51327	0.002509	24.0961	24.0939	23.9251	23.8055	23.6402	23.3784
-2.51327	0.0025165	21.7912	21.7902	21.789	21.7884	21.5678	21.3223
-2.51327	0.002524	22.4807	22.4804	22.4801	22.4798	22.3062	22.1226
-2.51327	0.0025315	26.1603	26.1603	26.1602	26.1601	26.0342	25.8942
-2.51327	0.002539	32.6328	32.5311	32.4093	32.3454	32.3133	32.2958
-2.51327	0.0025465	41.6087	41.5151	41.4029	41.344	41.3145	41.2984
-2.51327	0.002554	53.555	53.4686	53.3652	53.3109	53.2836	53.2688
-2.40855	0.002464	89.1085	89.0985	88.8489	88.4572	88.26	88.1526
-2.40855	0.0024715	69.6051	69.5986	69.3582	68.9856	68.798	68.6959
-2.40855	0.002479	53.1086	53.1048	52.8742	52.5194	52.3409	52.2437
-2.40855	0.0024865	39.6194	39.5934	39.3973	39.0592	38.8891	38.7965
-2.40855	0.002494	29.0833	28.9784	28.8527	28.6047	28.4425	28.2553
-2.40855	0.0025015	21.463	21.3684	21.255	21.1548	20.9219	20.7138
-2.40855	0.002509	16.8469	16.7615	16.6592	16.6056	16.3759	16.1737
-2.40855	0.0025165	14.9836	14.9712	14.9564	14.852	14.6573	14.3514
-2.40855	0.002524	16.0003	15.9846	15.9659	15.8865	15.6989	15.4512
-2.40855	0.0025315	20.0056	19.9864	19.9615	19.9105	19.7294	19.5401
-2.40855	0.002539	26.3718	26.3383	26.2982	26.2772	26.2666	26.2411
-2.40855	0.0025465	35.6736	35.6442	35.6089	35.5905	35.5812	35.5761
-2.40855	0.002554	47.9441	47.9182	47.8872	47.871	47.8628	47.8583
-2.30383	0.002464	81.7174	81.7051	81.2073	80.9449	80.8131	80.7091
-2.30383	0.0024715	62.578	62.5355	62.0684	61.8203	61.6957	61.627
