#x	y	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
0.426	0.002464	479.713	476.567	469.165	461.883	455.421	450.455
0.426	0.0024715	456.832	453.658	446.304	439.026	432.607	427.653
0.426	0.002479	436.892	433.687	426.383	419.106	412.73	407.789
0.426	0.0024865	419.75	416.655	409.399	402.123	395.79	390.861
0.426	0.002494	405.263	402.246	394.984	387.856	381.522	376.645
0.426	0.0025015	393.712	390.666	383.462	376.342	370.06	365.201
0.426	0.002509	384.76	381.882	374.69	367.687	361.434	356.629
0.426	0.0025165	378.6	375.724	368.6	361.621	355.422	350.64
0.426	0.002524	374.936	372.137	365.057	358.174	352.018	347.286
0.426	0.0025315	373.628	370.831	363.82	356.906	350.732	345.943
0.426	0.002539	374.555	371.724	364.57	357.612	351.296	346.422
0.426	0.0025465	377.762	374.777	367.659	360.623	354.394	349.473
0.426	0.002554	383.465	380.448	373.371	366.207	360.027	355.178
0.4345	0.002464	346.169	344.157	338.929	333.656	329.205	325.623
0.4345	0.0024715	324.545	322.566	317.343	312.078	307.642	304.078
0.4345	0.002479	305.873	303.926	298.707	293.45	289.028	285.481
0.4345	0.0024865	290.056	288.053	282.979	277.771	273.362	269.832
0.4345	0.002494	276.859	274.893	269.83	264.696	260.353	256.857
0.4345	0.0025015	266.608	264.68	259.626	254.506	250.182	246.708
0.4345	0.002509	258.949	256.988	252.062	247.042	242.781	239.345
0.4345	0.0025165	254.037	252.058	247.225	242.281	238.071	234.667
0.4345	0.002524	251.594	249.614	244.841	239.947	235.773	232.398
0.4345	0.0025315	251.38	249.396	244.587	239.627	235.352	231.893
0.4345	0.002539	253.251	251.312	246.406	241.311	236.998	233.524
0.4345	0.0025465	257.525	255.647	250.698	245.574	241.211	237.718
0.4345	0.002554	264.44	262.614	257.563	252.446	248.156	244.734
0.443	0.002464	244.595	243.018	239.611	235.987	232.901	230.5
0.443	0.0024715	224.234	222.696	219.302	215.692	212.624	210.242
0.443	0.002479	206.835	205.336	201.955	198.358	195.306	192.943
0.443	0.0024865	192.339	190.734	187.437	183.916	180.908	178.565
0.443	0.002494	180.434	178.873	175.595	172.093	169.107	166.788
0.443	0.0025015	171.485	169.915	166.709	163.225	160.261	157.966
0.443	0.002509	165.114	163.524	160.345	156.936	154.022	151.759
0.443	0.0025165	161.442	159.808	156.69	153.34	150.469	148.236
0.443	0.002524	160.199	158.513	155.416	152.087	149.225	146.964
0.443	0.0025315	160.858	159.235	156.058	152.65	149.712	147.365
0.443	0.002539	163.703	162.18	158.957	155.505	152.563	150.234
0.443	0.0025465	169.145	167.748	164.457	160.944	157.973	155.685
0.443	0.002554	177.171	175.834	172.618	169.18	166.274	163.981
0.4515	0.002464	170.074	168.913	166.762	164.425	162.455	160.823
0.4515	0.0024715	151.017	149.84	147.709	145.389	143.438	141.796
0.4515	0.002479	134.932	133.737	131.626	129.323	127.39	125.738
0.4515	0.0024865	121.443	120.376	118.29	116.031	114.124	112.542
0.4515	0.002494	110.871	109.789	107.729	105.492	103.609	102.018
0.4515	0.0025015	103.026	102.04	100.006	97.8125	95.961	94.4231
0.4515	0.002509	97.9259	96.9407	94.9381	92.7729	90.9505	89.4049
0.4515	0.0025165	95.3005	94.4082	92.4184	90.2884	88.4889	87.005
0.4515	0.002524	94.9687	94.0536	92.0431	89.8873	88.0583	86.5236
0.4515	0.0025315	96.6648	95.6893	93.6671	91.422	89.5265	87.9383
0.4515	0.002539	100.768	99.6995	97.6983	95.4773	93.5659	91.9062
0.4515	0.0025465	107.512	106.313	104.307	102.102	100.262	98.6083
0.4515	0.002554	116.924	115.735	113.799	111.582	109.634	107.988
0.46	0.002464	117.763	117.335	115.875	114.461	113.255	112.151
0.46	0.0024715	99.8945	99.4572	98.0226	96.628	95.4118	94.3284
0.46	0.002479	85.0063	84.5581	83.1497	81.7741	80.547	79.4845
0.46	0.0024865	72.7546	72.3842	70.9392	69.5749	68.4252	67.3536
0.46	0.002494	63.3954	63.0158	61.6022	60.2622	59.103	58.057
0.46	0.0025015	56.7427	56.4192	54.9842	53.6625	52.562	51.5205
0.46	0.002509	52.7893	52.5015	51.057	49.7542	48.6928	47.6617
0.46	0.0025165	51.2709	51.0009	49.5601	48.2761	47.2347	46.2081
0.46	0.002524	51.7879	51.4678	50.0069	48.6598	47.5629	46.4927
0.46	0.0025315	54.3552	53.9789	52.5626	51.2185	50.0626	49.0079
0.46	0.002539	59.5187	59.0619	57.6976	56.3551	55.1195	54.0861
0.46	0.0025465	67.2561	66.8061	65.5058	64.2313	63.0023	62.03
0.46	0.002554	77.8594	77.3025	76.0636	74.7954	73.4666	72.5341
0.4685	0.002464	83.8797	83.3935	82.4938	81.644	80.9045	80.3036
0.4685	0.0024715	67.1143	66.6701	65.7546	64.9243	64.1772	63.5945
0.4685	0.002479	53.3355	52.8158	52.0024	51.1635	50.4363	49.8677
0.4685	0.0024865	42.2367	41.6406	40.8317	39.9993	39.3036	38.7198
0.4685	0.002494	34.0002	33.4137	32.6275	31.8197	31.1167	30.5562
0.4685	0.0025015	28.3696	27.7607	27.0281	26.2128	25.5547	24.9904
0.4685	0.002509	25.3356	24.7756	24.1019	23.2876	22.6593	22.0995
0.4685	0.0025165	24.6425	24.1114	23.4726	22.6402	22.0242	21.4165
0.4685	0.002524	26.0099	25.4057	24.6787	23.8375	23.157	22.5283
0.4685	0.0025315	29.5801	29.0203	28.202	27.3876	26.6843	26.08
0.4685	0.002539	35.5919	35.2451	34.299	33.5176	32.7557	32.214
0.4685	0.0025465	44.4734	44.198	43.2625	42.5251	41.684	41.1819
0.4685	0.002554	55.9183	55.8142	54.7762	54.1017	53.2673	52.8106
0.477	0.002464	62.8194	62.6148	62.3693	61.7345	61.3434	61.0539
0.477	0.0024715	47.0843	46.8729	46.6193	46.0026	45.6061	45.3307
0.477	0.002479	34.1581	33.9974	33.8049	33.1286	32.7736	32.4628
0.477	0.0024865	23.9802	23.8141	23.615	22.9615	22.6018	22.3098
0.477	0.002494	16.6617	16.5307	16.3342	15.6819	15.3528	15.0429
0.477	0.0025015	12.0152	11.8798	11.7053	11.0531	10.72	10.4338
0.477	0.002509	9.87725	9.77722	9.53232	8.93769	8.6378	8.32175
0.477	0.0025165	9.8979	9.78723	9.5403	8.92528	8.61505	8.27971
0.477	0.002524	11.9541	11.7807	11.5727	10.8752	10.5093	10.1642
0.477	0.0025315	16.4251	16.2536	15.9777	15.3376	14.9266	14.612
0.477	0.002539	23.4874	23.2628	22.9933	22.4083	22.0014	21.744
0.477	0.0025465	33.459	33.1586	32.7957	32.2861	31.8217	31.5681
0.477	0.002554	45.9757	45.6801	45.3253	44.8757	44.4161	44.1652
0.4855	0.002464	51.6323	51.6306	51.1874	50.8778	50.7222	50.5662
0.4855	0.0024715	36.7134	36.7111	36.2887	35.9725	35.8136	35.6659
0.4855	0.002479	24.6679	24.6084	24.1044	23.8387	23.7052	23.5097
0.4855	0.0024865	15.3143	15.2904	14.7758	14.5047	14.3684	14.1859
0.4855	0.002494	8.82956	8.63014	8.18421	7.94938	7.83141	7.62052
0.4855	0.0025015	5.00423	4.68888	4.28612	4.07412	3.96767	3.74095
0.4855	0.002509	3.53289	3.21467	2.83262	2.63156	2.53062	2.29872
0.4855	0.0025165	4.09166	3.82934	3.39642	3.15714	3.03693	2.76227
0.4855	0.002524	6.64057	6.58083	6.05242	5.77389	5.63391	5.38199
0.4855	0.0025315	11.7508	11.7462	11.2925	10.9586	10.7906	10.5733
0.4855	0.002539	19.6049	19.6011	19.1892	18.8604	18.6951	18.5282
0.4855	0.0025465	30.1251	30.106	29.8577	29.456	29.2539	29.1405
0.4855	0.002554	43.4966	43.4792	43.2774	42.882	42.683	42.5746
0.494	0.002464	46.0402	45.9511	45.8444	45.7885	45.7475	45.5826
0.494	0.0024715	31.7803	31.6869	31.5749	31.5163	31.4776	31.3101
0.494	0.002479	20.1211	20.06	19.9868	19.9484	19.8389	19.691
0.494	0.0024865	11.4329	11.3684	11.2912	11.2508	11.1481	10.9981
0.494	0.002494	5.36754	5.32393	5.27177	5.24447	5.09379	4.9581
0.494	0.0025015	1.99885	1.96694	1.92877	1.90881	1.72698	1.60048
0.494	0.002509	1.02917	1.00263	0.970901	0.954308	0.731039	0.609196
0.494	0.0025165	2.01897	1.97299	1.91798	1.88919	1.66276	1.52531
0.494	0.002524	5.24659	5.17768	5.0952	5.052	4.85686	4.70397
0.494	0.0025315	11.0791	10.9735	10.8471	10.7808	10.6322	10.458
0.494	0.002539	19.5947	19.4927	19.3706	19.3065	19.1992	19.027
0.494	0.0025465	30.8781	30.7226	30.5362	30.4384	30.3894	30.1992
0.494	0.002554	44.9169	44.7661	44.5854	44.4906	44.4431	44.2997
0.5025	0.002464	43.9586	43.9483	43.9361	43.767	43.6601	43.602
0.5025	0.0024715	30.0956	30.0867	30.0563	29.883	29.7957	29.7361
0.5025	0.002479	18.9383	18.915	18.7722	18.5949	18.506	18.4577
0.5025	0.0024865	10.6484	10.627	10.4589	10.3095	10.2206	10.1711
0.5025	0.002494	5.03644	4.99986	4.72925	4.57671	4.50019	4.45861
0.5025	0.0025015	2.07814	1.91944	1.66343	1.52892	1.46147	1.42483
0.5025	0.002509	1.3573	1.15797	0.918929	0.793372	0.730421	0.69623
0.5025	0.0025165	2.58399	2.49172	2.19496	2.03896	1.9607	1.91818
0.5025	0.002524	6.05022	6.03126	5.78712	5.5997	5.50563	5.4545
0.5025	0.0025315	12.0848	12.0791	11.9806	11.748	11.6312	11.5677
0.5025	0.002539	20.9778	20.9778	20.9206	20.6922	20.5775	20.5151
0.5025	0.0025465	32.4473	32.4473	32.4472	32.2638	32.1187	32.0397
0.5025	0.002554	46.8884	46.8883	46.8881	46.7378	46.5952	46.5177
0.511	0.002464	43.1522	43.1154	43.0714	43.0484	43.0368	43.0306
0.511	0.0024715	29.3729	29.3546	29.3326	29.3212	29.3155	29.3123
0.511	0.002479	18.251	18.2311	18.2072	18.1948	18.1886	18.1852
0.511	0.0024865	10.0735	10.0639	10.0524	10.0464	10.0434	10.0418
0.511	0.002494	4.5016	4.49098	4.47827	4.47164	4.46832	4.46653
0.511	0.0025015	1.56239	1.55703	1.55062	1.54726	1.54559	1.54468
0.511	0.002509	0.912324	0.908997	0.905023	0.902948	0.901912	0.901351
0.511	0.0025165	2.28988	2.27811	2.26404	2.25669	2.25302	2.25103
