#	stats	nuenorm1_corr	nuenorm2_corr	nuenorm3_corr	nuenorm4_corr	nuenorm5_corr
0.002464	0.0368064	0.0808326	0.103871	0.115398	0.121659
0.0024715	0.0183389	0.040262	0.051723	0.0574527	0.0605624
0.002479	0.0199361	0.0437699	0.0562306	0.0624603	0.0658411
0.0024865	0.00959609	0.021077	0.0270713	0.0300659	0.0316897
0.002494	0.00200605	0.01976	0.0700483	0.0950586	0.122227
0.0025015	0.000234591	0.000514823	0.000661309	0.000734797	0.000775058
0.002509	0	0	0	0	0
0.0025165	0.00249976	0.0054853	0.00704367	0.00782165	0.00824323
0.002524	0.00934481	0.0205249	0.026362	0.0292779	0.0308589
0.0025315	0.0482279	0.105671	0.135528	0.15039	0.158432
0.002539	0.0505942	0.110852	0.14217	0.157758	0.166192
0.0025465	0.0231317	0.0507049	0.0650569	0.0722133	0.0760948
0.002554	0.0249163	0.0546148	0.0700712	0.0777772	0.0819559
